teamname,payroll,standing
Arizona Diamondbacks,74284833,81-81
Atlanta Braves,83309942,94-68
Baltimore Orioles,81428999,93-69
Boston Red Sox,173186617,69-93
Chicago Cubs,88197033,61-101
Chicago White Sox,96919500,85-77
Cincinnati Reds,82203616,97-65
Cleveland Indians,78430300,68-94
Colorado Rockies,78069571,64-98
Detroit Tigers,132300000,88-74
Houston Astros,60651000,55-107
Kansas City Royals,60916225,72-90
Los Angeles Angels,154485166,89-73
Los Angeles Dodgers,95143575,86-76
Miami Marlins,118078000,69-93
Milwaukee Brewers,97653944,83-79
Minnesota Twins,94085000,66-96
New York Mets,93353983,74-88
New York Yankees,197962289,95-67
Oakland Athletics,55372500,94-68
Philadelphia Phillies,174538938,81-81
Pittsburgh Pirates,63431999,79-83
San Diego Padres,55244700,76-86
San Francisco Giants,117620683,94-68
Seattle Mariners,81978100,75-87
St. Louis Cardinals,110300862,88-74
Tampa Bay Rays,64173500,90-72
Texas Rangers,120510974,93-69
Toronto Blue Jays,75489200,73-89
Washington Nationals,81336143,98-64
